scaling,rep,omega,treelen
yang,46,0.4,0.792168179469
neutral,46,0.4,0.443617075793
yang,47,0.4,0.791117574462
neutral,47,0.4,0.402446581734
yang,48,0.4,0.739121103705
neutral,48,0.4,0.417108943034
yang,49,0.4,0.796173627364
neutral,49,0.4,0.443845988433
yang,0,0.5,0.771618276242
neutral,0,0.5,0.533948396416
yang,1,0.5,0.788651870725
neutral,1,0.5,0.501260112002
yang,2,0.5,0.815841369454
neutral,2,0.5,0.557069193248
yang,3,0.5,0.777308369711
neutral,3,0.5,0.518162846736
yang,4,0.5,0.77363280445
neutral,4,0.5,0.506742426147
yang,5,0.5,0.875414012291
neutral,5,0.5,0.490746077386
yang,6,0.5,0.804274179773
neutral,6,0.5,0.499097378087
yang,7,0.5,0.837901351554
neutral,7,0.5,0.475331974059
yang,8,0.5,0.816633169996
neutral,8,0.5,0.541454014699
yang,9,0.5,0.744120632839
neutral,9,0.5,0.500496035194
yang,10,0.5,0.87519434866
neutral,10,0.5,0.503118480437
yang,11,0.5,0.793181685938
neutral,11,0.5,0.50105383214
yang,12,0.5,0.819219005955
neutral,12,0.5,0.548552182216
yang,13,0.5,0.802362246745
neutral,13,0.5,0.507024123484
yang,14,0.5,0.807753960669
neutral,14,0.5,0.54541106027
yang,15,0.5,0.800739992647
neutral,15,0.5,0.513658587248
yang,16,0.5,0.78899721765
neutral,16,0.5,0.52565938169
yang,17,0.5,0.769923590703
neutral,17,0.5,0.489719954173
yang,18,0.5,0.82222818126
neutral,18,0.5,0.506337014636
yang,19,0.5,0.835428871839
neutral,19,0.5,0.50059591843
yang,20,0.5,0.820878105334
neutral,20,0.5,0.51030849679
yang,21,0.5,0.790170498435
neutral,21,0.5,0.515373470985
yang,22,0.5,0.806448931284
neutral,22,0.5,0.541542610506
yang,23,0.5,0.751007202468
neutral,23,0.5,0.498884519349
yang,24,0.5,0.816566055133
neutral,24,0.5,0.520146463876
yang,25,0.5,0.81026951951
neutral,25,0.5,0.49628264473
yang,26,0.5,0.749648245966
neutral,26,0.5,0.555422051268
yang,27,0.5,0.845320838289
neutral,27,0.5,0.492750010339
yang,28,0.5,0.78445549952
neutral,28,0.5,0.54225110411
yang,29,0.5,0.800861514402
neutral,29,0.5,0.518779314482
yang,30,0.5,0.801993251253
neutral,30,0.5,0.511320614701
yang,31,0.5,0.828549437377
neutral,31,0.5,0.523658530793
yang,32,0.5,0.819661653782
neutral,32,0.5,0.49281478833
yang,33,0.5,0.771058373651
neutral,33,0.5,0.520475045784
yang,34,0.5,0.783171208454
neutral,34,0.5,0.534737050574
yang,35,0.5,0.79558983918
neutral,35,0.5,0.53058768839
yang,36,0.5,0.775202388386
neutral,36,0.5,0.470514786804
yang,37,0.5,0.812124032014
neutral,37,0.5,0.487078367151
yang,38,0.5,0.762473516309
neutral,38,0.5,0.480013715918
yang,39,0.5,0.763203793131
neutral,39,0.5,0.480101869812
yang,40,0.5,0.79712861441
neutral,40,0.5,0.460318653459
yang,41,0.5,0.81813932797
neutral,41,0.5,0.544717772315
yang,42,0.5,0.749165193371
neutral,42,0.5,0.534352852973
yang,43,0.5,0.731705795333
neutral,43,0.5,0.437808179615
yang,44,0.5,0.83805430988
neutral,44,0.5,0.540344157506
yang,45,0.5,0.847825192573
neutral,45,0.5,0.545939466052
yang,46,0.5,0.792479532191
neutral,46,0.5,0.512105783388
yang,47,0.5,0.887397229474
neutral,47,0.5,0.465768669531
yang,48,0.5,0.761006581646
neutral,48,0.5,0.441407592075
yang,49,0.5,0.856958305975
neutral,49,0.5,0.488794192587
yang,0,0.6,0.771528122227
neutral,0,0.6,0.611096619535
yang,1,0.6,0.783411637392
neutral,1,0.6,0.483322860747
yang,2,0.6,0.778727645444
neutral,2,0.6,0.610449932706
yang,3,0.6,0.800305860242
neutral,3,0.6,0.605709714722
yang,4,0.6,0.861773441211
neutral,4,0.6,0.51332213364
yang,5,0.6,0.804085220957
neutral,5,0.6,0.595830279363
yang,6,0.6,0.810751621271
neutral,6,0.6,0.637478562516
yang,7,0.6,0.867888657871
neutral,7,0.6,0.646255968169
yang,8,0.6,0.775286016521
neutral,8,0.6,0.543049438401
yang,9,0.6,0.826402278338
neutral,9,0.6,0.601289452977
yang,10,0.6,0.856784588656
neutral,10,0.6,0.566056738149
yang,11,0.6,0.789728101578
neutral,11,0.6,0.5831433549
yang,12,0.6,0.74991281958
neutral,12,0.6,0.540724835858
yang,13,0.6,0.801381585619
neutral,13,0.6,0.544663823287
yang,14,0.6,0.809835498706
neutral,14,0.6,0.611512613895
yang,15,0.6,0.82947218825
neutral,15,0.6,0.597194870737
yang,16,0.6,0.849583002229
neutral,16,0.6,0.535812906388
yang,17,0.6,0.782669989311
neutral,17,0.6,0.585692846744
yang,18,0.6,0.861706016421
neutral,18,0.6,0.554978423811
yang,19,0.6,0.871726558855
neutral,19,0.6,0.563294497795
yang,20,0.6,0.819402239364
neutral,20,0.6,0.542708403402
yang,21,0.6,0.803859247635
neutral,21,0.6,0.564791325052
yang,22,0.6,0.769425639918
neutral,22,0.6,0.598123117592
yang,23,0.6,0.802113259492
neutral,23,0.6,0.584609660036
yang,24,0.6,0.764303377914
neutral,24,0.6,0.562588784235
yang,25,0.6,0.929167924736
neutral,25,0.6,0.570982619353
yang,26,0.6,0.81524336972
neutral,26,0.6,0.625640682681
yang,27,0.6,0.807256515432
neutral,27,0.6,0.568413208607
yang,28,0.6,0.869149358032
neutral,28,0.6,0.577101489554
yang,29,0.6,0.757639395001
neutral,29,0.6,0.620479923613
yang,30,0.6,0.827277499636
neutral,30,0.6,0.604645298906
yang,31,0.6,0.792291212807
neutral,31,0.6,0.546102984739
yang,32,0.6,0.844454617302
neutral,32,0.6,0.546099600254
yang,33,0.6,0.8173005074
neutral,33,0.6,0.533555684402
yang,34,0.6,0.817372892906
neutral,34,0.6,0.542504633174
yang,35,0.6,0.789221669708
neutral,35,0.6,0.58806245349
yang,36,0.6,0.847158374224
neutral,36,0.6,0.562870550461
yang,37,0.6,0.835694364895
neutral,37,0.6,0.619719483951
yang,38,0.6,0.759485307039
neutral,38,0.6,0.583727192093
yang,39,0.6,0.769182613409
neutral,39,0.6,0.584308839137
yang,40,0.6,0.919736098609
neutral,40,0.6,0.618673207683
yang,41,0.6,0.819007258911
neutral,41,0.6,0.595334295919
yang,42,0.6,0.800742211103
neutral,42,0.6,0.613485983811
yang,43,0.6,0.880571285209
neutral,43,0.6,0.541572278158
yang,44,0.6,0.745591668319
neutral,44,0.6,0.55635471956
yang,45,0.6,0.82282560773
neutral,45,0.6,0.582352888599
yang,46,0.6,0.884795590672
neutral,46,0.6,0.574150748767
yang,47,0.6,0.800283342416
neutral,47,0.6,0.577884497184
yang,48,0.6,0.841547029272
neutral,48,0.6,0.55058593839
yang,49,0.6,0.817019387931
neutral,49,0.6,0.599102565371
yang,0,0.7,0.837688640492
neutral,0,0.7,0.617455600051
yang,1,0.7,0.855392913945
neutral,1,0.7,0.565129086531
yang,2,0.7,0.896692314185
neutral,2,0.7,0.594936997055
yang,3,0.7,0.84076443028
neutral,3,0.7,0.607619865627
yang,4,0.7,0.756129688683
neutral,4,0.7,0.625584341495
yang,5,0.7,0.737088578045
neutral,5,0.7,0.722165802927
yang,6,0.7,0.800653060023
neutral,6,0.7,0.637841304256
yang,7,0.7,0.787845061037
neutral,7,0.7,0.639348639023
yang,8,0.7,0.705977684138
neutral,8,0.7,0.706051434194
yang,9,0.7,0.849027888344
neutral,9,0.7,0.625580845189
yang,10,0.7,0.769587457435
neutral,10,0.7,0.6142839103
yang,11,0.7,0.772377852835
neutral,11,0.7,0.612207371021
yang,12,0.7,0.776558191559
neutral,12,0.7,0.645544356356
yang,13,0.7,0.82520011822
neutral,13,0.7,0.62961337799
yang,14,0.7,0.817335650691
neutral,14,0.7,0.588691352428
yang,15,0.7,0.794860961548
neutral,15,0.7,0.609557429317
yang,16,0.7,0.786494314281
neutral,16,0.7,0.620902198603
yang,17,0.7,0.817603441777
neutral,17,0.7,0.565862387883
yang,18,0.7,0.760394387795
neutral,18,0.7,0.652076324471
yang,19,0.7,0.845898950247
neutral,19,0.7,0.60475798963
yang,20,0.7,0.864814559739
neutral,20,0.7,0.590591992735
yang,21,0.7,0.858174306965
neutral,21,0.7,0.673489785492
yang,22,0.7,0.740982737451
neutral,22,0.7,0.579228396871
yang,23,0.7,0.751758917314
neutral,23,0.7,0.646665545814
yang,24,0.7,0.785643610759
neutral,24,0.7,0.614959140327
yang,25,0.7,0.800750354518
neutral,25,0.7,0.643800701275
yang,26,0.7,0.837779624396
neutral,26,0.7,0.629390661049
yang,27,0.7,0.792707583619
neutral,27,0.7,0.619128073782
yang,28,0.7,0.784566965439
neutral,28,0.7,0.635882636547
yang,29,0.7,0.831303746801
neutral,29,0.7,0.620246967091
yang,30,0.7,0.81846836328
neutral,30,0.7,0.659588206383
yang,31,0.7,0.851047776799
neutral,31,0.7,0.668814877515
yang,32,0.7,0.75701960501
neutral,32,0.7,0.635353594446
yang,33,0.7,0.773280182564
neutral,33,0.7,0.646680318176
yang,34,0.7,0.774054188885
neutral,34,0.7,0.641484272558
yang,35,0.7,0.774971740924
neutral,35,0.7,0.569617000991
yang,36,0.7,0.795788579405
neutral,36,0.7,0.628525468832
yang,37,0.7,0.854575864327
neutral,37,0.7,0.589404331481
yang,38,0.7,0.793112745008
neutral,38,0.7,0.646623107066
yang,39,0.7,0.750491548295
neutral,39,0.7,0.587974836371
yang,40,0.7,0.837527170147
neutral,40,0.7,0.637531861488
yang,41,0.7,0.862253220614
neutral,41,0.7,0.672917794358
yang,42,0.7,0.807786483149
neutral,42,0.7,0.63352783543
yang,43,0.7,0.797837615677
neutral,43,0.7,0.600792085372
yang,44,0.7,0.77645479453
neutral,44,0.7,0.614764214613
yang,45,0.7,0.879843056445
neutral,45,0.7,0.556306754846
yang,46,0.7,0.799250869099
neutral,46,0.7,0.600286714827
yang,47,0.7,0.755774867334
neutral,47,0.7,0.618605515954
yang,48,0.7,0.746063208691
neutral,48,0.7,0.600837002136
yang,49,0.7,0.798323961832
neutral,49,0.7,0.570813499134
yang,0,0.8,0.716100416844
neutral,0,0.8,0.695464593436
yang,1,0.8,0.792517579155
neutral,1,0.8,0.68657848184
yang,2,0.8,0.848957869489
neutral,2,0.8,0.644481310573
yang,3,0.8,0.861257369783
neutral,3,0.8,0.6814111898
yang,4,0.8,0.753495240151
neutral,4,0.8,0.674273417536
yang,5,0.8,0.786626110204
neutral,5,0.8,0.709632744989
yang,6,0.8,0.835530904305
neutral,6,0.8,0.753375208596
yang,7,0.8,0.764253345712
neutral,7,0.8,0.634429094042
yang,8,0.8,0.811054323197
neutral,8,0.8,0.665721110634
yang,9,0.8,0.897507558923
neutral,9,0.8,0.663478245384
yang,10,0.8,0.789400815755
neutral,10,0.8,0.734758673345
yang,11,0.8,0.798785284967
neutral,11,0.8,0.64667636903
yang,12,0.8,0.787877759714
neutral,12,0.8,0.734968894233
yang,13,0.8,0.769701602158
neutral,13,0.8,0.687594530219
yang,14,0.8,0.790715772992
neutral,14,0.8,0.672380472401
yang,15,0.8,0.862008666063
neutral,15,0.8,0.675616143039
yang,16,0.8,0.851098816909
neutral,16,0.8,0.754398045458
yang,17,0.8,0.798966651818
neutral,17,0.8,0.659192043954
yang,18,0.8,0.817096150392
neutral,18,0.8,0.769354202251
yang,19,0.8,0.813476477189
neutral,19,0.8,0.689976527715
yang,20,0.8,0.844540987726
neutral,20,0.8,0.705022024536
yang,21,0.8,0.811565479557
neutral,21,0.8,0.657821485321
yang,22,0.8,0.800001039938
neutral,22,0.8,0.671209432935
yang,23,0.8,0.791457106056
neutral,23,0.8,0.716737672134
yang,24,0.8,0.839679241796
neutral,24,0.8,0.663177092546
yang,25,0.8,0.82308619863
neutral,25,0.8,0.682349742289
yang,26,0.8,0.844453371117
neutral,26,0.8,0.652951151006
yang,27,0.8,0.777621398493
neutral,27,0.8,0.700645908487
yang,28,0.8,0.78493429115
neutral,28,0.8,0.695577942826
yang,29,0.8,0.80178264139
neutral,29,0.8,0.69712869097
yang,30,0.8,0.775606473307
neutral,30,0.8,0.663238774745
yang,31,0.8,0.786767183145
neutral,31,0.8,0.713311166211
yang,32,0.8,0.822250052586
neutral,32,0.8,0.748693197176
yang,33,0.8,0.797220745091
neutral,33,0.8,0.6496437576
yang,34,0.8,0.855152519643
neutral,34,0.8,0.622365411043
yang,35,0.8,0.776526261974
neutral,35,0.8,0.725726002395
yang,36,0.8,0.799391773804
neutral,36,0.8,0.662942905565
yang,37,0.8,0.800173453149
neutral,37,0.8,0.663648823193
yang,38,0.8,0.841987050678
neutral,38,0.8,0.683368269336
yang,39,0.8,0.766437912963
neutral,39,0.8,0.73356804505
yang,40,0.8,0.795387785046
neutral,40,0.8,0.682645203212
yang,41,0.8,0.801147875132
neutral,41,0.8,0.661474040254
yang,42,0.8,0.916191554996
neutral,42,0.8,0.688947641432
yang,43,0.8,0.840667761294
neutral,43,0.8,0.706779850433
yang,44,0.8,0.772373910944
neutral,44,0.8,0.708071625134
yang,45,0.8,0.799607831133
neutral,45,0.8,0.643624314224
yang,46,0.8,0.819145402514
neutral,46,0.8,0.673962967166
yang,47,0.8,0.821899817414
neutral,47,0.8,0.69336828901
yang,48,0.8,0.842133655355
neutral,48,0.8,0.666472964184
yang,49,0.8,0.779868836756
neutral,49,0.8,0.715557440152
yang,0,0.9,0.792056400688
neutral,0,0.9,0.782914743624
yang,1,0.9,0.780241539363
neutral,1,0.9,0.720804679096
yang,2,0.9,0.868961494098
neutral,2,0.9,0.755581799894
yang,3,0.9,0.770909201654
neutral,3,0.9,0.757475898386
yang,4,0.9,0.849774516053
neutral,4,0.9,0.7212895275
yang,5,0.9,0.812602020396
neutral,5,0.9,0.769888981164
yang,6,0.9,0.808363613679
neutral,6,0.9,0.740909384917
yang,7,0.9,0.768764574505
neutral,7,0.9,0.772507838774
yang,8,0.9,0.788298321919
neutral,8,0.9,0.764686722196
yang,9,0.9,0.799975178787
neutral,9,0.9,0.740405819367
yang,10,0.9,0.832752537864
neutral,10,0.9,0.777060303349
yang,11,0.9,0.772839844691
neutral,11,0.9,0.724003014778
yang,12,0.9,0.886585024561
neutral,12,0.9,0.69700170874
yang,13,0.9,0.851696213139
neutral,13,0.9,0.741997305251
yang,14,0.9,0.878247594997
neutral,14,0.9,0.752309738736
yang,15,0.9,0.829781528795
neutral,15,0.9,0.75895593884
yang,16,0.9,0.789031891256
neutral,16,0.9,0.747399493841
yang,17,0.9,0.783908630685
neutral,17,0.9,0.739305116328
yang,18,0.9,0.818914951209
neutral,18,0.9,0.741566330718
yang,19,0.9,0.841144352471
neutral,19,0.9,0.695134723405
yang,20,0.9,0.760275090649
neutral,20,0.9,0.727385805139
yang,21,0.9,0.79294745918
neutral,21,0.9,0.744537239754
yang,22,0.9,0.820142399554
neutral,22,0.9,0.74669097355
